recordid,phone01,phone02,phone03,phone04,email01,email02,email03,leadid01,leadid02,leadid03,asof
1,28c89207b2796d2e051629940c6ee403,cb4b162e542157016b4a4d66a4a5366d,677c6df1e334659756f0f004fb574abc,,d002dda6c6a70053fb315a8b907a6d27,9a04921126529b694ebc55caa5790b58,,6B349998-C9C4-23D2-AE65-3769F2AC7D23,4A533C16-6490-5CDC-0D9C-EfbCAF808598,ae6ca47c-2AC2-6f2c-6920-41a64dcecDb8,
2,28c89207b2796d2e051629940c6ee403,60cf60f7c20cbbdf84f237ae04e03afc,,,,,,,,,
3,,,,,e147a0e36716eb4540df8ccdab0127f8,dca81821f2901e5c6292eca5139fa046,,,,,
4,,,,,,,,6370D94F-D6AA-4A85-D954-7F76CDF119E3,3107e7fa-a6e0-4ff9-a267-fcfb97eb62e5,,
5,,,,60cf60f7c20cbbdf84f237ae04e03afc,,,,,,,
6,,,,,,,d002dda6c6a70053fb315a8b907a6d27,,,,
7,,,,,,,,,,0743FADB-2A3C-8091-3109-020FD06A4F06,
8,32ec35fe8a2d0b413f1ce5e718bea6ec,,,,,,,,,,
9,32ec35fe8a2d0b413f1ce5e718bea6ed,,,,,,,,,,
10,,,,,32ec35fe8a2d0b413f1ce5e718bea6ed,,,,,,
11,,,,,,,,6370D94F-D6AA-4A85-D954-7F76CDF119E9,,,
12,,,,,e147a0e36716eb4540df8ccdab0127f8,,,,,,
13,,,,,7fafc083534f99706fbd7d53ba74aba8,,,,,,
14,28c89207b2796d2e051629940c6ee403,,,,,,,,,,
15,cb4b162e542157016b4a4d66a4a5366d,,,,,,,,,,
