recordid,phone01,phone02,phone03,phone04,email01,email02,email03,leadid01,leadid02,leadid03,asof
1,PPAAAAAA,PPSSSSSS,,,EESSSSSS,EEYYYYYY,,,LLDDDDDD-DDDD-DDDD-DDDD-DDDDDDDDDDDD,,
2,PPBBBBBB,PPLLLLLL,PPMMMMM,,EEBBBBBB,,,LLBBBBBB-BBBB-BBBB-BBBB-BBBBBBBBBBBB,,,
3,PPCCCCCC,,,,,EEAAAAAA,,,,,
4,PPDDDDDD,,,,EESSSSSS,,,,,,
5,PPEEEEEE,PPYYYYYY,,,EESSSSSS,,,LLPPPPPP-PPPP-PPPP-PPPP-PPPPPPPPPPPP,LLBBBBBB-BBBB-BBBB-BBBB-BBBBBBBBBBBB,,
6,PPFFFFFF,,,,EEFFFFFF,,EEDDDDDD,LLFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF,,,
7,PPGGGGGG,,,,EEGGGGGG,,,,,,
8,PPHHHHHH,,PPUUUUUU,,EEHHHHHH,EESSSSSS,,,,,
9,PPIIIIII,,,,EEIIIIII,,,,LLCCCCCC-CCCC-CCCC-CCCC-CCCCCCCCCCCC,,
10,PPJJJJJJ,,,,EEJJJJJJ,EEBBBBBB,,,,,
11,PPKKKKKK,,PPWWWWWW,,EEKKKKKK,,,LLKKKKKK-KKKK-KKKK-KKKK-KKKKKKKKKKKK,,,
12,PPNNNNNN,,,,EEMMMMMM,EECCCCCC,EETTTTTT,LLMMMMMM-MMMM-MMMM-MMMM-MMMMMMMMMMMM,,,
13,PPOOOOOO,PPTTTTTT,,,EENNNNNN,,,LLOOOOOO-OOOO-OOOO-OOOO-OOOOOOOOOOOO,,,
14,PPQQQQQQ,,,,EEOOOOOO,,,LLPPPPPP-PPPP-PPPP-PPPP-PPPPPPPPPPPP,,,
15,PPRRRRRR,PPZZZZZZ,,,EEPPPPPP,EERRRRRR,,LLSSSSSS-SSSS-SSSS-SSSS-SSSSSSSSSSSS,,,
16,PPXXXXXXXXX,,,,EESSSSSS,,,,LLJJJJJJ-JJJJ-JJJJ-JJJJ-JJJJJJJJJJJJ,,
17,PPBBBBBB,PP111111,PP222222,PP333333,EEXXXXXXXXX,EEZZZZZZ,EE111111,LLZZZZZZ-ZZZZ-ZZZZ-ZZZZ-ZZZZZZZZZZZZ,,,
